drug_id,target_id,interaction,cluster_id
DB00050,P22888,1,8
DB00050,P30968,1,8
DB00162,P10745,1,3
DB00162,P09455,1,11
DB00162,P00352,1,10
DB00162,Q92781,1,11
DB00162,P12271,1,11
DB00162,O95237,1,0
DB00175,P04035,1,8
DB00176,P31645,1,5
DB00177,P30556,1,10
DB00178,P12821,1,8
DB00180,P04150,1,10
DB00181,Q9UBS5,1,8
DB00181,O75899,1,5
DB00182,Q05940,1,5
DB00182,Q01959,1,11
DB00184,Q15822,1,0
DB00184,P43681,1,6
DB00184,P17787,1,0
DB00184,P36544,1,4
DB00184,P30926,1,13
DB00184,P32297,1,0
DB00184,P30532,1,8
DB00185,P20309,1,8
DB00185,P11229,1,4
DB00186,P24046,1,0
DB00186,P48169,1,13
DB00186,P34903,1,6
DB00186,P30536,1,11
DB00186,P14867,1,14
DB00186,P18505,1,6
DB00186,P28472,1,6
DB00186,P47870,1,5
DB00186,P18507,1,5
DB00186,Q8N1C3,1,5
DB00186,Q99928,1,0
DB00186,P28476,1,11
DB00186,O14764,1,0
DB00187,P08588,1,3
DB00188,Q99460,1,0
DB00188,Q13200,1,13
DB00188,P20618,1,8
DB00188,P28074,1,0
DB00188,P49721,1,13
DB00191,P23975,1,13
DB00191,Q01959,1,11
DB00191,P31645,1,5
DB00191,P27338,1,0
DB00191,P21397,1,6
DB00193,P20309,1,8
DB00193,P41143,1,10
DB00193,P23975,1,13
DB00193,P28335,1,7
DB00193,P41145,1,8
DB00193,Q8TCU5,1,6
DB00193,P31645,1,5
DB00193,P35372,1,11
DB00195,P08588,1,3
DB00195,P07550,1,10
DB00197,P37231,1,8
DB00197,P05121,1,0
DB00197,Q99808,1,5
DB00197,P62508,1,0
DB00197,P11474,1,11
DB00198,Q99519,1,3
DB00198,P23141,1,10
DB00200,Q8IVH4,1,10
DB00200,Q96EY8,1,11
DB00200,Q99707,1,0
DB00200,Q9UBK8,1,5
DB00200,P22033,1,13
DB00200,O60494,1,6
DB00201,P30542,1,0
DB00201,Q07343,1,3
DB00201,P21817,1,8
DB00201,P29274,1,4
DB00202,P20309,1,8
DB00202,P11229,1,4
DB00202,P08172,1,9
DB00203,O76074,1,2
DB00203,P18545,1,8
DB00203,Q13956,1,2
DB00204,Q12809,1,3
DB00204,Q14500,1,0
DB00205,P00374,1,5
DB00206,Q05940,1,10
DB00208,Q9H244,1,10
DB00210,P28702,1,0
DB00210,P13631,1,5
DB00210,P10826,1,5
DB00210,P19793,1,5
DB00210,P10276,1,8
DB00210,P48443,1,5
DB00211,P35348,1,12
DB00211,P35368,1,15
DB00215,P31645,1,5
DB00216,P08908,1,10
DB00216,P41595,1,13
DB00216,P30939,1,10
DB00216,P34969,1,13
DB00216,P28221,1,10
DB00216,P28222,1,13
DB00218,P11388,1,13
DB00222,Q09428,1,10
DB00222,P48048,1,8
DB00222,Q14654,1,0
DB00227,P20701,1,0
DB00227,P04035,1,8
DB00227,Q92769,1,13
DB00228,P03886,1,6
DB00228,Q12791,1,5
DB00228,P42261,1,8
DB00228,Q09470,1,6
DB00228,P14867,1,14
DB00230,O00555,1,13
DB00231,P24046,1,0
DB00231,P48169,1,13
DB00231,P34903,1,6
DB00231,P30536,1,11
DB00231,P14867,1,14
DB00231,P18505,1,6
DB00231,P28472,1,6
DB00231,P47870,1,5
DB00231,P18507,1,5
DB00231,Q8N1C3,1,5
DB00231,Q99928,1,0
DB00231,P28476,1,11
DB00231,O14764,1,0
DB00242,P00491,1,5
DB00242,P23921,1,10
DB00242,P09884,1,1
DB00242,P31350,1,5
DB00242,Q7LG56,1,13
DB00242,Q07864,1,4
DB00242,P56282,1,11
DB00242,Q9NR33,1,0
DB00242,Q9NRF9,1,3
DB00243,Q14524,1,13
DB00246,P21728,1,10
DB00246,P20309,1,8
DB00246,P11229,1,4
DB00246,P21918,1,8
