entity_id,entity_type
DB00050,drug
DB00162,drug
DB00175,drug
DB00176,drug
DB00177,drug
DB00178,drug
DB00180,drug
DB00181,drug
DB00182,drug
DB00184,drug
DB00185,drug
DB00186,drug
DB00187,drug
DB00188,drug
DB00191,drug
DB00193,drug
DB00195,drug
DB00197,drug
DB00198,drug
DB00200,drug
DB00201,drug
DB00202,drug
DB00203,drug
DB00204,drug
DB00205,drug
DB00206,drug
DB00208,drug
DB00210,drug
DB00211,drug
DB00215,drug
DB00216,drug
DB00218,drug
DB00222,drug
DB00227,drug
DB00228,drug
DB00230,drug
DB00231,drug
DB00242,drug
DB00243,drug
DB00246,drug
DB00247,drug
DB00248,drug
DB00252,drug
DB00257,drug
DB00264,drug
DB00268,drug
DB00273,drug
DB00276,drug
DB00277,drug
DB00278,drug
DB00280,drug
DB00281,drug
DB00282,drug
DB00284,drug
DB00285,drug
DB00287,drug
DB00288,drug
DB00289,drug
DB00292,drug
DB00293,drug
DB00295,drug
DB00296,drug
DB00297,drug
DB00302,drug
DB00307,drug
DB00308,drug
DB00310,drug
DB00312,drug
DB00313,drug
DB00315,drug
DB00316,drug
DB00317,drug
DB00318,drug
DB00320,drug
DB00321,drug
DB00323,drug
DB00324,drug
DB00327,drug
DB00328,drug
DB00331,drug
DB00333,drug
DB00334,drug
DB00335,drug
DB00337,drug
DB00344,drug
DB00346,drug
DB00349,drug
DB00350,drug
DB00351,drug
DB00356,drug
DB00357,drug
DB00358,drug
DB00361,drug
DB00363,drug
DB00364,drug
DB00367,drug
DB00368,drug
DB00370,drug
DB00371,drug
DB00373,drug
DB00374,drug
DB00376,drug
DB00377,drug
DB00379,drug
DB00381,drug
DB00382,drug
DB00384,drug
DB00388,drug
DB00390,drug
DB00393,drug
DB00396,drug
DB00398,drug
DB00401,drug
DB00404,drug
DB00408,drug
DB00411,drug
DB00412,drug
DB00413,drug
DB00418,drug
DB00419,drug
DB00421,drug
DB00422,drug
DB00425,drug
DB00431,drug
DB00433,drug
DB00434,drug
DB00437,drug
DB00439,drug
DB00440,drug
DB00441,drug
DB00444,drug
DB00446,drug
DB00449,drug
DB00450,drug
DB00454,drug
DB00457,drug
DB00458,drug
DB00459,drug
DB00461,drug
DB00465,drug
DB00471,drug
DB00472,drug
DB00474,drug
DB00475,drug
DB00476,drug
DB00477,drug
DB00480,drug
DB00481,drug
DB00482,drug
DB00484,drug
DB00486,drug
DB00489,drug
DB00490,drug
DB00491,drug
DB00492,drug
DB00494,drug
DB00496,drug
DB00497,drug
DB00499,drug
DB00500,drug
DB00501,drug
DB00502,drug
DB00518,drug
DB00519,drug
DB00521,drug
DB00524,drug
DB00530,drug
DB00532,drug
DB00533,drug
DB00535,drug
DB00537,drug
DB00539,drug
DB00540,drug
DB00541,drug
DB00542,drug
DB00543,drug
DB00547,drug
DB00548,drug
DB00550,drug
DB00554,drug
DB00555,drug
DB00559,drug
DB00561,drug
DB00563,drug
DB00564,drug
DB00571,drug
DB00572,drug
DB00573,drug
DB00575,drug
DB00580,drug
DB00585,drug
DB00586,drug
DB00590,drug
DB00591,drug
DB00593,drug
DB00594,drug
DB00598,drug
DB00602,drug
DB00603,drug
DB00605,drug
DB00608,drug
DB00611,drug
DB00612,drug
DB00615,drug
DB00619,drug
DB00620,drug
DB00621,drug
DB00622,drug
DB00623,drug
DB00624,drug
DB00630,drug
DB00631,drug
DB00633,drug
DB00635,drug
DB00640,drug
DB00641,drug
DB00642,drug
DB00648,drug
DB00650,drug
DB00651,drug
DB00652,drug
DB00654,drug
DB00656,drug
DB00657,drug
DB00659,drug
DB00661,drug
DB00665,drug
DB00668,drug
DB00669,drug
DB00672,drug
DB00673,drug
DB00674,drug
DB00675,drug
DB00678,drug
DB00679,drug
DB00680,drug
DB00683,drug
DB00685,drug
DB00687,drug
DB00690,drug
DB00691,drug
