head,relation,tail,label
DB00756,interacts,P09622,1
DB01194,interacts,P00918,1
DB00491,interacts,O43451,1
DB00431,interacts,P48167,1
DB00373,interacts,P07550,1
DB00818,interacts,Q99250,1
DB00454,interacts,Q05586,1
DB00411,interacts,P08172,1
DB00368,interacts,P35348,1
DB01219,interacts,P21817,1
DB01023,interacts,Q13936,1
DB00751,interacts,P25021,1
DB01036,interacts,P08173,1
DB00477,interacts,P35348,1
DB01161,interacts,P46098,1
DB00904,interacts,Q13639,1
DB01618,interacts,P11229,1
DB00216,interacts,P30939,1
DB00231,interacts,P14867,1
DB01068,interacts,P30536,1
DB00690,interacts,P48169,1
DB00796,interacts,P30556,1
DB00608,interacts,P01375,1
DB00363,interacts,P28223,1
DB00349,interacts,P48169,1
DB00668,interacts,P07550,1
DB01224,interacts,P28222,1
DB01159,interacts,P59768,1
DB00920,interacts,P27815,1
DB01229,interacts,Q9H4B7,1
DB00696,interacts,P28221,1
DB00683,interacts,P48169,1
DB01200,interacts,P28221,1
DB01014,interacts,P35354,1
DB00200,interacts,Q9UBK8,1
DB01118,interacts,O95180,1
DB00915,interacts,P14416,1
DB00502,interacts,P35462,1
DB00312,interacts,Q13002,1
DB00907,interacts,P08172,1
DB01233,interacts,Q13639,1
DB01173,interacts,Q05586,1
DB04896,interacts,P31645,1
DB01151,interacts,P31645,1
DB01577,interacts,P18089,1
DB00434,interacts,P20309,1
DB00897,interacts,P14867,1
DB01064,interacts,P27986,1
DB00482,interacts,P35354,1
DB00715,interacts,P23975,1
DB01595,interacts,P47870,1
DB00307,interacts,P48443,1
DB01611,interacts,Q9NR96,1
DB00376,interacts,P08173,1
DB01101,interacts,P04818,1
DB00441,interacts,P04818,1
DB00489,interacts,P08588,1
DB00413,interacts,P35462,1
DB00758,interacts,Q9H244,1
DB00231,interacts,O14764,1
DB06228,interacts,P00742,1
DB01159,interacts,Q12791,1
DB00312,interacts,P34903,1
DB00458,interacts,P08172,1
DB00411,interacts,Q15822,1
DB00920,interacts,Q07343,1
DB01120,interacts,P15692,1
DB01595,interacts,Q8N1C3,1
DB00496,interacts,P08912,1
DB01162,interacts,P25100,1
DB00381,interacts,Q01668,1
DB01114,interacts,P31645,1
DB00704,interacts,P41143,1
DB01268,interacts,P10721,1
DB00975,interacts,P27815,1
DB00228,interacts,Q12791,1
DB00198,interacts,Q99519,1
DB00909,interacts,P21397,1
DB00320,interacts,P28222,1
DB00844,interacts,P41145,1
DB01114,interacts,P23975,1
DB00186,interacts,P30536,1
DB00715,interacts,P11229,1
DB01159,interacts,P03886,1
DB01110,interacts,P35228,1
DB00622,interacts,P35348,1
DB00674,interacts,Q15822,1
DB00293,interacts,P04818,1
DB00714,interacts,P28222,1
DB00679,interacts,P21728,1
DB00999,interacts,P55017,1
DB01062,interacts,P20309,1
DB01364,interacts,P35348,1
DB00842,interacts,P28472,1
DB00324,interacts,P04150,1
DB00242,interacts,P56282,1
DB00986,interacts,P11229,1
DB00268,interacts,P35462,1
DB01224,interacts,P35462,1
DB01364,interacts,P22303,1
DB01098,interacts,P04035,1
DB00401,interacts,Q13698,1
DB01085,interacts,P20309,1
DB00363,interacts,P28221,1
DB00598,interacts,P08588,1
DB01591,interacts,P20309,1
DB01236,interacts,Q09470,1
