entity_id,entity_type
e_D1,drug
e_D2,drug
e_D3,drug
e_D4,drug
e_D5,drug
e_D6,drug
e_D7,drug
e_D8,drug
e_D9,drug
e_D10,drug
e_D11,drug
e_D12,drug
e_D13,drug
e_D14,drug
e_D15,drug
e_D16,drug
e_D17,drug
e_D18,drug
e_D19,drug
e_D20,drug
e_D21,drug
e_D22,drug
e_D23,drug
e_D24,drug
e_D25,drug
e_D26,drug
e_D27,drug
e_D28,drug
e_D29,drug
e_D30,drug
e_D31,drug
e_D32,drug
e_D33,drug
e_D34,drug
e_D35,drug
e_D36,drug
e_D37,drug
e_D38,drug
e_D39,drug
e_D40,drug
e_D41,drug
e_D42,drug
e_D43,drug
e_D44,drug
e_D45,drug
e_D46,drug
e_D47,drug
e_D48,drug
e_D49,drug
e_D50,drug
e_D51,drug
e_D52,drug
e_D53,drug
e_D54,drug
e_D55,drug
e_D56,drug
e_D57,drug
e_D58,drug
e_D59,drug
e_D60,drug
e_D61,drug
e_D62,drug
e_D63,drug
e_D64,drug
e_D65,drug
e_D66,drug
e_D67,drug
e_D68,drug
e_D69,drug
e_D70,drug
e_D71,drug
e_D72,drug
e_D73,drug
e_D74,drug
e_D75,drug
e_D76,drug
e_D77,drug
e_D78,drug
e_D79,drug
e_D80,drug
e_D81,drug
e_D82,drug
e_D83,drug
e_D84,drug
e_D85,drug
e_D86,drug
e_D87,drug
e_D88,drug
e_D89,drug
e_D90,drug
e_D91,drug
e_D92,drug
e_D93,drug
e_D94,drug
e_D95,drug
e_D96,drug
e_D97,drug
e_D98,drug
e_D99,drug
e_D100,drug
e_D101,drug
e_D102,drug
e_D103,drug
e_D104,drug
e_D105,drug
e_D106,drug
e_D107,drug
e_D108,drug
e_D109,drug
e_D110,drug
e_D111,drug
e_D112,drug
e_D113,drug
e_D114,drug
e_D115,drug
e_D116,drug
e_D117,drug
e_D118,drug
e_D119,drug
e_D120,drug
e_D121,drug
e_D122,drug
e_D123,drug
e_D124,drug
e_D125,drug
e_D126,drug
e_D127,drug
e_D128,drug
e_D129,drug
e_D130,drug
e_D131,drug
e_D132,drug
e_D133,drug
e_D134,drug
e_D135,drug
e_D136,drug
e_D137,drug
e_D138,drug
e_D139,drug
e_D140,drug
e_D141,drug
e_D142,drug
e_D143,drug
e_D144,drug
e_D145,drug
e_D146,drug
e_D147,drug
e_D148,drug
e_D149,drug
e_D150,drug
e_D151,drug
e_D152,drug
e_D153,drug
e_D154,drug
e_D155,drug
e_D156,drug
e_D157,drug
e_D158,drug
e_D159,drug
e_D160,drug
e_D161,drug
e_D162,drug
e_D163,drug
e_D164,drug
e_D165,drug
e_D166,drug
e_D167,drug
e_D168,drug
e_D169,drug
e_D170,drug
e_D171,drug
e_D172,drug
e_D173,drug
e_D174,drug
e_D175,drug
e_D176,drug
e_D177,drug
e_D178,drug
e_D179,drug
e_D180,drug
e_D181,drug
e_D182,drug
e_D183,drug
e_D184,drug
e_D185,drug
e_D186,drug
e_D187,drug
e_D188,drug
e_D189,drug
e_D190,drug
e_D191,drug
e_D192,drug
e_D193,drug
e_D194,drug
e_D195,drug
e_D196,drug
e_D197,drug
e_D198,drug
e_D199,drug
e_D200,drug
e_D201,drug
e_D202,drug
e_D203,drug
e_D204,drug
e_D205,drug
e_D206,drug
e_D207,drug
e_D208,drug
e_D209,drug
e_D210,drug
e_D211,drug
e_D212,drug
e_D213,drug
e_D214,drug
e_D215,drug
e_D216,drug
e_D217,drug
e_D218,drug
e_D219,drug
e_D220,drug
e_D221,drug
e_D222,drug
e_D223,drug
e_D224,drug
e_D225,drug
e_D226,drug
e_D227,drug
e_D228,drug
e_D229,drug
e_D230,drug
e_D231,drug
e_D232,drug
e_D233,drug
e_D234,drug
e_D235,drug
e_D236,drug
e_D237,drug
e_D238,drug
e_D239,drug
e_D240,drug
e_D241,drug
e_D242,drug
e_D243,drug
e_D244,drug
e_D245,drug
e_D246,drug
e_D247,drug
e_D248,drug
e_D249,drug
e_D250,drug
e_D251,drug
e_D252,drug
e_D253,drug
e_D254,drug
e_D255,drug
e_D256,drug
e_D257,drug
e_D258,drug
e_D259,drug
e_D260,drug
e_D261,drug
e_D262,drug
e_D263,drug
e_D264,drug
e_D265,drug
e_D266,drug
e_D267,drug
e_D268,drug
e_D269,drug
e_D270,drug
e_D271,drug
e_D272,drug
e_D273,drug
e_D274,drug
e_D275,drug
e_D276,drug
e_D277,drug
e_D278,drug
e_D279,drug
e_D280,drug
e_D281,drug
e_D282,drug
e_D283,drug
e_D284,drug
e_D285,drug
e_D286,drug
e_D287,drug
e_D288,drug
e_D289,drug
e_D290,drug
e_D291,drug
e_D292,drug
e_D293,drug
e_D294,drug
e_D295,drug
e_D296,drug
e_D297,drug
e_D298,drug
e_D299,drug
e_D300,drug
e_D301,drug
e_D302,drug
e_D303,drug
e_D304,drug
e_D305,drug
e_D306,drug
e_D307,drug
e_D308,drug
e_D309,drug
e_D310,drug
e_D311,drug
e_D312,drug
e_D313,drug
e_D314,drug
e_D315,drug
e_D316,drug
e_D317,drug
e_D318,drug
e_D319,drug
e_D320,drug
e_D321,drug
e_D322,drug
e_D323,drug
e_D324,drug
e_D325,drug
e_D326,drug
e_D327,drug
e_D328,drug
e_D329,drug
e_D330,drug
e_D331,drug
e_D332,drug
e_D333,drug
e_D334,drug
e_D335,drug
e_D336,drug
e_D337,drug
e_D338,drug
e_D339,drug
e_D340,drug
e_D341,drug
e_D342,drug
e_D343,drug
e_D344,drug
e_D345,drug
e_D346,drug
e_D347,drug
e_D348,drug
e_D349,drug
e_D350,drug
e_D351,drug
e_D352,drug
e_D353,drug
e_D354,drug
e_D355,drug
e_D356,drug
e_D357,drug
e_D358,drug
e_D359,drug
e_D360,drug
e_D361,drug
e_D362,drug
e_D363,drug
e_D364,drug
e_D365,drug
e_D366,drug
e_D367,drug
e_D368,drug
e_D369,drug
e_D370,drug
e_D371,drug
e_D372,drug
e_D373,drug
e_D374,drug
e_D375,drug
e_D376,drug
e_D377,drug
e_D378,drug
e_D379,drug
e_D380,drug
e_D381,drug
e_D382,drug
e_D383,drug
e_D384,drug
e_D385,drug
e_D386,drug
e_D387,drug
e_D388,drug
e_D389,drug
e_D390,drug
e_D391,drug
e_D392,drug
e_D393,drug
e_D394,drug
e_D395,drug
e_D396,drug
e_D397,drug
e_D398,drug
e_D399,drug
e_D400,drug
e_D401,drug
e_D402,drug
e_D403,drug
e_D404,drug
e_D405,drug
e_D406,drug
e_D407,drug
e_D408,drug
e_D409,drug
e_D410,drug
e_D411,drug
e_D412,drug
e_D413,drug
e_D414,drug
e_D415,drug
e_D416,drug
e_D417,drug
e_D418,drug
e_D419,drug
e_D420,drug
e_D421,drug
e_D422,drug
e_D423,drug
e_D424,drug
e_D425,drug
e_D426,drug
e_D427,drug
e_D428,drug
e_D429,drug
e_D430,drug
e_D431,drug
e_D432,drug
e_D433,drug
e_D434,drug
e_D435,drug
e_D436,drug
e_D437,drug
e_D438,drug
e_D439,drug
e_D440,drug
e_D441,drug
e_D442,drug
e_D443,drug
e_D444,drug
e_D445,drug
gpcr_D1,drug
gpcr_D2,drug
gpcr_D3,drug
gpcr_D4,drug
gpcr_D5,drug
gpcr_D6,drug
gpcr_D7,drug
gpcr_D8,drug
gpcr_D9,drug
gpcr_D10,drug
gpcr_D11,drug
gpcr_D12,drug
gpcr_D13,drug
gpcr_D14,drug
gpcr_D15,drug
gpcr_D16,drug
gpcr_D17,drug
gpcr_D18,drug
gpcr_D19,drug
gpcr_D20,drug
gpcr_D21,drug
gpcr_D22,drug
gpcr_D23,drug
gpcr_D24,drug
gpcr_D25,drug
gpcr_D26,drug
gpcr_D27,drug
gpcr_D28,drug
gpcr_D29,drug
gpcr_D30,drug
gpcr_D31,drug
gpcr_D32,drug
gpcr_D33,drug
gpcr_D34,drug
gpcr_D35,drug
gpcr_D36,drug
gpcr_D37,drug
gpcr_D38,drug
gpcr_D39,drug
gpcr_D40,drug
gpcr_D41,drug
gpcr_D42,drug
gpcr_D43,drug
gpcr_D44,drug
gpcr_D45,drug
gpcr_D46,drug
gpcr_D47,drug
gpcr_D48,drug
gpcr_D49,drug
gpcr_D50,drug
gpcr_D51,drug
gpcr_D52,drug
gpcr_D53,drug
gpcr_D54,drug
gpcr_D55,drug
gpcr_D56,drug
gpcr_D57,drug
gpcr_D58,drug
gpcr_D59,drug
gpcr_D60,drug
gpcr_D61,drug
gpcr_D62,drug
gpcr_D63,drug
gpcr_D64,drug
gpcr_D65,drug
gpcr_D66,drug
gpcr_D67,drug
gpcr_D68,drug
gpcr_D69,drug
gpcr_D70,drug
gpcr_D71,drug
gpcr_D72,drug
gpcr_D73,drug
gpcr_D74,drug
gpcr_D75,drug
gpcr_D76,drug
gpcr_D77,drug
gpcr_D78,drug
gpcr_D79,drug
gpcr_D80,drug
gpcr_D81,drug
gpcr_D82,drug
gpcr_D83,drug
gpcr_D84,drug
gpcr_D85,drug
gpcr_D86,drug
gpcr_D87,drug
gpcr_D88,drug
gpcr_D89,drug
gpcr_D90,drug
gpcr_D91,drug
gpcr_D92,drug
gpcr_D93,drug
gpcr_D94,drug
gpcr_D95,drug
gpcr_D96,drug
gpcr_D97,drug
gpcr_D98,drug
gpcr_D99,drug
gpcr_D100,drug
gpcr_D101,drug
gpcr_D102,drug
gpcr_D103,drug
gpcr_D104,drug
