head,relation,tail,label
ic_D40,interacts,T66,1
ic_D61,interacts,T171,1
gpcr_D207,interacts,T14,1
e_D105,interacts,T94,1
ic_D93,interacts,T99,1
gpcr_D192,interacts,T9,1
ic_D20,interacts,T146,1
gpcr_D67,interacts,T15,1
gpcr_D22,interacts,T25,1
e_D142,interacts,T657,1
e_D27,interacts,T211,1
ic_D58,interacts,T56,1
ic_D49,interacts,T172,1
gpcr_D114,interacts,T17,1
e_D430,interacts,T303,1
e_D18,interacts,T207,1
gpcr_D148,interacts,T4,1
gpcr_D22,interacts,T47,1
ic_D111,interacts,T187,1
gpcr_D182,interacts,T89,1
ic_D200,interacts,T19,1
e_D54,interacts,T129,1
ic_D93,interacts,T176,1
ic_D38,interacts,T178,1
e_D430,interacts,T157,1
gpcr_D178,interacts,T17,1
gpcr_D98,interacts,T51,1
e_D370,interacts,T355,1
e_D69,interacts,T99,1
e_D107,interacts,T337,1
e_D29,interacts,T480,1
e_D316,interacts,T581,1
e_D304,interacts,T407,1
e_D339,interacts,T98,1
e_D217,interacts,T324,1
ic_D14,interacts,T95,1
ic_D158,interacts,T197,1
e_D69,interacts,T107,1
ic_D49,interacts,T175,1
gpcr_D178,interacts,T26,1
e_D57,interacts,T110,1
ic_D72,interacts,T179,1
ic_D80,interacts,T73,1
gpcr_D138,interacts,T19,1
e_D293,interacts,T443,1
ic_D129,interacts,T108,1
ic_D60,interacts,T190,1
gpcr_D9,interacts,T20,1
e_D262,interacts,T294,1
e_D412,interacts,T100,1
e_D62,interacts,T121,1
e_D117,interacts,T94,1
gpcr_D208,interacts,T19,1
nr_D52,interacts,T11,1
ic_D176,interacts,T131,1
e_D1,interacts,T491,1
e_D426,interacts,T57,1
e_D101,interacts,T81,1
e_D432,interacts,T161,1
ic_D49,interacts,T193,1
e_D1,interacts,T259,1
e_D301,interacts,T153,1
ic_D26,interacts,T202,1
e_D50,interacts,T144,1
e_D93,interacts,T607,1
e_D226,interacts,T334,1
ic_D47,interacts,T28,1
ic_D6,interacts,T26,1
ic_D82,interacts,T178,1
ic_D78,interacts,T7,1
gpcr_D102,interacts,T39,1
ic_D176,interacts,T46,1
e_D369,interacts,T577,1
e_D142,interacts,T411,1
gpcr_D197,interacts,T22,1
ic_D121,interacts,T60,1
e_D10,interacts,T509,1
e_D179,interacts,T611,1
e_D433,interacts,T441,1
ic_D176,interacts,T77,1
e_D131,interacts,T239,1
gpcr_D44,interacts,T18,1
e_D411,interacts,T550,1
gpcr_D76,interacts,T19,1
ic_D192,interacts,T17,1
e_D182,interacts,T610,1
ic_D164,interacts,T11,1
e_D149,interacts,T252,1
e_D134,interacts,T213,1
e_D388,interacts,T325,1
e_D131,interacts,T415,1
e_D148,interacts,T302,1
gpcr_D181,interacts,T61,1
e_D105,interacts,T107,1
e_D262,interacts,T577,1
e_D111,interacts,T556,1
e_D108,interacts,T89,1
gpcr_D31,interacts,T45,1
ic_D135,interacts,T176,1
e_D8,interacts,T268,1
e_D108,interacts,T104,1
gpcr_D29,interacts,T88,1
ic_D93,interacts,T89,1
ic_D90,interacts,T156,1
e_D329,interacts,T229,1
gpcr_D13,interacts,T12,1
e_D260,interacts,T224,1
ic_D72,interacts,T188,1
ic_D84,interacts,T133,1
gpcr_D24,interacts,T81,1
ic_D55,interacts,T40,1
ic_D14,interacts,T125,1
ic_D67,interacts,T29,1
gpcr_D180,interacts,T3,1
gpcr_D110,interacts,T18,1
ic_D108,interacts,T197,1
e_D41,interacts,T90,1
e_D371,interacts,T398,1
e_D378,interacts,T93,1
gpcr_D102,interacts,T37,1
e_D12,interacts,T73,1
ic_D28,interacts,T151,1
e_D196,interacts,T81,1
e_D180,interacts,T604,1
e_D314,interacts,T334,1
e_D260,interacts,T97,1
ic_D91,interacts,T45,1
e_D246,interacts,T318,1
e_D246,interacts,T620,1
e_D313,interacts,T70,1
ic_D80,interacts,T171,1
e_D16,interacts,T24,1
gpcr_D15,interacts,T81,1
e_D199,interacts,T61,1
ic_D61,interacts,T43,1
gpcr_D49,interacts,T26,1
e_D52,interacts,T520,1
e_D1,interacts,T46,1
e_D242,interacts,T519,1
ic_D114,interacts,T149,1
ic_D20,interacts,T173,1
e_D247,interacts,T334,1
ic_D84,interacts,T175,1
gpcr_D58,interacts,T17,1
e_D243,interacts,T613,1
ic_D7,interacts,T146,1
e_D306,interacts,T640,1
e_D117,interacts,T518,1
ic_D82,interacts,T190,1
ic_D197,interacts,T110,1
ic_D26,interacts,T172,1
gpcr_D123,interacts,T70,1
gpcr_D211,interacts,T22,1
e_D101,interacts,T101,1
e_D59,interacts,T532,1
e_D180,interacts,T613,1
e_D431,interacts,T242,1
e_D149,interacts,T85,1
e_D311,interacts,T580,1
e_D29,interacts,T466,1
e_D277,interacts,T195,1
e_D220,interacts,T98,1
e_D1,interacts,T312,1
e_D41,interacts,T108,1
gpcr_D43,interacts,T24,1
ic_D68,interacts,T27,1
ic_D38,interacts,T128,1
ic_D185,interacts,T172,1
ic_D82,interacts,T145,1
ic_D72,interacts,T181,1
e_D117,interacts,T98,1
e_D164,interacts,T98,1
e_D122,interacts,T93,1
gpcr_D22,interacts,T29,1
ic_D84,interacts,T178,1
ic_D13,interacts,T32,1
ic_D171,interacts,T28,1
e_D432,interacts,T284,1
e_D101,interacts,T635,1
e_D16,interacts,T565,1
ic_D114,interacts,T153,1
e_D65,interacts,T608,1
e_D372,interacts,T284,1
ic_D20,interacts,T144,1
gpcr_D199,interacts,T4,1
e_D149,interacts,T84,1
ic_D107,interacts,T61,1
ic_D198,interacts,T153,1
ic_D176,interacts,T75,1
e_D108,interacts,T91,1
e_D366,interacts,T74,1
ic_D159,interacts,T155,1
e_D164,interacts,T83,1
ic_D174,interacts,T150,1
ic_D193,interacts,T9,1
e_D196,interacts,T94,1
e_D54,interacts,T40,1
ic_D49,interacts,T159,1
e_D23,interacts,T290,1
e_D436,interacts,T324,1
e_D37,interacts,T519,1
e_D220,interacts,T90,1
e_D233,interacts,T94,1
ic_D61,interacts,T180,1
gpcr_D171,interacts,T22,1
e_D142,interacts,T416,1
e_D295,interacts,T271,1
e_D411,interacts,T82,1
e_D105,interacts,T108,1
ic_D40,interacts,T197,1
ic_D67,interacts,T26,1
e_D75,interacts,T317,1
gpcr_D80,interacts,T21,1
e_D64,interacts,T520,1
e_D99,interacts,T393,1
e_D105,interacts,T518,1
e_D432,interacts,T356,1
ic_D24,interacts,T106,1
e_D148,interacts,T613,1
e_D29,interacts,T40,1
e_D31,interacts,T211,1
e_D39,interacts,T309,1
e_D353,interacts,T640,1
e_D71,interacts,T393,1
e_D50,interacts,T426,1
gpcr_D169,interacts,T22,1
e_D70,interacts,T27,1
e_D41,interacts,T635,1
ic_D113,interacts,T156,1
e_D111,interacts,T633,1
e_D314,interacts,T532,1
e_D432,interacts,T185,1
e_D326,interacts,T195,1
ic_D176,interacts,T89,1
e_D318,interacts,T271,1
e_D386,interacts,T164,1
e_D54,interacts,T466,1
e_D262,interacts,T157,1
gpcr_D178,interacts,T28,1
e_D432,interacts,T360,1
ic_D144,interacts,T177,1
e_D360,interacts,T287,1
ic_D64,interacts,T51,1
e_D311,interacts,T644,1
e_D140,interacts,T607,1
e_D111,interacts,T383,1
e_D99,interacts,T401,1
gpcr_D42,interacts,T18,1
ic_D167,interacts,T191,1
e_D29,interacts,T467,1
e_D29,interacts,T482,1
e_D10,interacts,T525,1
e_D150,interacts,T231,1
e_D149,interacts,T92,1
ic_D86,interacts,T197,1
gpcr_D162,interacts,T24,1
ic_D117,interacts,T8,1
e_D84,interacts,T520,1
e_D108,interacts,T96,1
e_D372,interacts,T153,1
e_D389,interacts,T324,1
e_D276,interacts,T396,1
e_D29,interacts,T637,1
e_D262,interacts,T182,1
e_D431,interacts,T322,1
e_D244,interacts,T407,1
e_D233,interacts,T96,1
gpcr_D38,interacts,T73,1
e_D134,interacts,T518,1
e_D139,interacts,T609,1
e_D347,interacts,T325,1
ic_D163,interacts,T151,1
gpcr_D220,interacts,T23,1
ic_D176,interacts,T175,1
e_D254,interacts,T215,1
ic_D66,interacts,T69,1
gpcr_D170,interacts,T27,1
e_D306,interacts,T397,1
e_D139,interacts,T209,1
e_D12,interacts,T364,1
ic_D69,interacts,T31,1
e_D71,interacts,T408,1
ic_D20,interacts,T128,1
e_D301,interacts,T539,1
e_D238,interacts,T641,1
ic_D66,interacts,T47,1
ic_D14,interacts,T117,1
e_D101,interacts,T111,1
gpcr_D213,interacts,T45,1
e_D16,interacts,T511,1
e_D65,interacts,T612,1
e_D431,interacts,T358,1
e_D197,interacts,T61,1
ic_D90,interacts,T147,1
e_D260,interacts,T84,1
e_D358,interacts,T393,1
e_D105,interacts,T85,1
e_D142,interacts,T110,1
ic_D207,interacts,T164,1
e_D432,interacts,T75,1
gpcr_D54,interacts,T6,1
ic_D13,interacts,T39,1
gpcr_D14,interacts,T4,1
ic_D90,interacts,T73,1
gpcr_D124,interacts,T45,1
gpcr_D167,interacts,T33,1
e_D14,interacts,T517,1
gpcr_D121,interacts,T27,1
e_D344,interacts,T325,1
e_D206,interacts,T91,1
e_D328,interacts,T582,1
gpcr_D79,interacts,T17,1
e_D430,interacts,T534,1
e_D165,interacts,T19,1
e_D430,interacts,T197,1
ic_D198,interacts,T147,1
ic_D49,interacts,T202,1
e_D370,interacts,T573,1
e_D91,interacts,T531,1
ic_D196,interacts,T151,1
ic_D84,interacts,T172,1
e_D179,interacts,T604,1
ic_D72,interacts,T142,1
ic_D20,interacts,T142,1
e_D252,interacts,T596,1
e_D233,interacts,T110,1
ic_D139,interacts,T156,1
ic_D203,interacts,T190,1
gpcr_D203,interacts,T22,1
e_D301,interacts,T148,1
ic_D26,interacts,T189,1
ic_D77,interacts,T163,1
e_D216,interacts,T519,1
ic_D14,interacts,T77,1
ic_D166,interacts,T191,1
e_D362,interacts,T194,1
e_D321,interacts,T519,1
e_D101,interacts,T241,1
e_D39,interacts,T320,1
ic_D205,interacts,T9,1
e_D372,interacts,T141,1
e_D233,interacts,T103,1
e_D218,interacts,T95,1
ic_D14,interacts,T184,1
e_D29,interacts,T469,1
e_D383,interacts,T519,1
gpcr_D72,interacts,T52,1
ic_D61,interacts,T178,1
e_D71,interacts,T405,1
e_D376,interacts,T271,1
gpcr_D67,interacts,T67,1
e_D358,interacts,T398,1
e_D294,interacts,T581,1
e_D187,interacts,T393,1
ic_D64,interacts,T30,1
ic_D64,interacts,T135,1
gpcr_D154,interacts,T55,1
e_D317,interacts,T401,1
e_D370,interacts,T75,1
e_D64,interacts,T221,1
ic_D38,interacts,T202,1
e_D244,interacts,T233,1
e_D177,interacts,T605,1
e_D413,interacts,T88,1
ic_D14,interacts,T79,1
gpcr_D78,interacts,T20,1
ic_D22,interacts,T167,1
e_D64,interacts,T124,1
e_D70,interacts,T397,1
e_D430,interacts,T200,1
gpcr_D164,interacts,T21,1
e_D69,interacts,T224,1
e_D140,interacts,T604,1
ic_D20,interacts,T175,1
e_D260,interacts,T107,1
e_D62,interacts,T447,1
gpcr_D202,interacts,T5,1
ic_D49,interacts,T170,1
e_D16,interacts,T541,1
ic_D176,interacts,T25,1
e_D93,interacts,T609,1
e_D54,interacts,T136,1
e_D262,interacts,T545,1
gpcr_D158,interacts,T20,1
e_D368,interacts,T407,1
e_D71,interacts,T401,1
ic_D22,interacts,T90,1
e_D139,interacts,T606,1
e_D1,interacts,T55,1
e_D13,interacts,T112,1
gpcr_D168,interacts,T4,1
gpcr_D217,interacts,T62,1
e_D152,interacts,T231,1
ic_D38,interacts,T180,1
e_D214,interacts,T26,1
ic_D107,interacts,T29,1
nr_D19,interacts,T20,1
e_D164,interacts,T85,1
ic_D163,interacts,T150,1
e_D238,interacts,T233,1
e_D142,interacts,T264,1
ic_D44,interacts,T151,1
e_D378,interacts,T538,1
ic_D167,interacts,T10,1
e_D334,interacts,T604,1
e_D140,interacts,T209,1
gpcr_D98,interacts,T57,1
e_D260,interacts,T100,1
e_D246,interacts,T440,1
e_D108,interacts,T102,1
ic_D121,interacts,T17,1
ic_D168,interacts,T30,1
e_D111,interacts,T31,1
gpcr_D165,interacts,T87,1
ic_D121,interacts,T127,1
e_D427,interacts,T609,1
ic_D61,interacts,T173,1
ic_D26,interacts,T176,1
e_D243,interacts,T611,1
e_D416,interacts,T121,1
e_D317,interacts,T407,1
e_D262,interacts,T603,1
gpcr_D67,interacts,T36,1
e_D149,interacts,T109,1
ic_D90,interacts,T153,1
e_D182,interacts,T607,1
e_D16,interacts,T389,1
e_D188,interacts,T605,1
e_D118,interacts,T304,1
ic_D16,interacts,T174,1
ic_D26,interacts,T171,1
gpcr_D160,interacts,T23,1
ic_D107,interacts,T30,1
e_D201,interacts,T519,1
ic_D176,interacts,T90,1
ic_D39,interacts,T202,1
gpcr_D69,interacts,T60,1
ic_D49,interacts,T180,1
e_D38,interacts,T178,1
e_D430,interacts,T151,1
gpcr_D113,interacts,T18,1
gpcr_D59,interacts,T18,1
e_D65,interacts,T604,1
ic_D90,interacts,T151,1
e_D179,interacts,T610,1
e_D262,interacts,T174,1
gpcr_D59,interacts,T24,1
ic_D203,interacts,T189,1
e_D301,interacts,T18,1
e_D432,interacts,T410,1
gpcr_D67,interacts,T12,1
e_D392,interacts,T501,1
nr_D6,interacts,T19,1
ic_D14,interacts,T75,1
ic_D108,interacts,T14,1
ic_D64,interacts,T29,1
e_D431,interacts,T410,1
e_D16,interacts,T50,1
gpcr_D174,interacts,T18,1
e_D370,interacts,T322,1
ic_D176,interacts,T201,1
e_D108,interacts,T98,1
e_D430,interacts,T490,1
e_D411,interacts,T83,1
e_D244,interacts,T396,1
e_D54,interacts,T133,1
ic_D94,interacts,T131,1
e_D164,interacts,T146,1
ic_D121,interacts,T52,1
e_D397,interacts,T334,1
e_D149,interacts,T146,1
e_D368,interacts,T395,1
ic_D194,interacts,T171,1
e_D69,interacts,T647,1
gpcr_D21,interacts,T21,1
gpcr_D144,interacts,T45,1
e_D93,interacts,T605,1
ic_D176,interacts,T41,1
e_D165,interacts,T319,1
ic_D176,interacts,T143,1
ic_D176,interacts,T127,1
ic_D190,interacts,T111,1
e_D432,interacts,T149,1
gpcr_D48,interacts,T48,1
e_D187,interacts,T399,1
ic_D144,interacts,T193,1
ic_D28,interacts,T153,1
ic_D70,interacts,T160,1
ic_D38,interacts,T43,1
