drug_id,target_id,interaction,drug_name,target_name
DB00808,P51787,1,DB00808,P51787
DB00808,P23280,1,DB00808,P23280
DB00808,P35218,1,DB00808,P35218
DB00808,Q9Y2D0,1,DB00808,Q9Y2D0
DB00808,P22748,1,DB00808,P22748
DB00808,O43570,1,DB00808,O43570
DB00808,Q16790,1,DB00808,Q16790
DB00808,Q8N1Q1,1,DB00808,Q8N1Q1
DB00808,P55017,1,DB00808,P55017
DB00808,Q9ULX7,1,DB00808,Q9ULX7
DB00808,P00918,1,DB00808,P00918
DB00808,P00915,1,DB00808,P00915
DB00808,P43166,1,DB00808,P43166
DB00809,P08912,1,DB00809,P08912
DB00809,P11229,1,DB00809,P11229
DB00809,P08172,1,DB00809,P08172
DB00809,P08173,1,DB00809,P08173
DB00809,P11712,1,DB00809,P11712
DB00809,P33261,1,DB00809,P33261
DB00809,P20309,1,DB00809,P20309
DB00806,P22303,1,DB00806,P22303
DB00806,Q07343,1,DB00806,Q07343
DB00806,P30542,1,DB00806,P30542
DB00806,O76074,1,DB00806,O76074
DB00806,P21589,1,DB00806,P21589
DB00806,P18089,1,DB00806,P18089
DB00806,P29274,1,DB00806,P29274
DB00806,P29275,1,DB00806,P29275
DB00807,Q9Y5Y9,1,DB00807,Q9Y5Y9
DB00807,Q9NY46,1,DB00807,Q9NY46
DB00807,P35498,1,DB00807,P35498
DB00807,Q99250,1,DB00807,Q99250
DB00807,Q99720,1,DB00807,Q99720
DB00807,P21397,1,DB00807,P21397
DB06594,P28223,1,DB06594,P28223
DB06594,P41595,1,DB06594,P41595
DB06594,P28335,1,DB06594,P28335
DB06594,P49286,1,DB06594,P49286
DB06594,P48039,1,DB06594,P48039
DB00811,Q9HAS3,1,DB00811,Q9HAS3
DB00811,P55263,1,DB00811,P55263
DB00811,P12268,1,DB00811,P12268
DB00811,P11387,1,DB00811,P11387
DB00811,P22413,1,DB00811,P22413
DB00811,P20839,1,DB00811,P20839
DB00811,Q99808,1,DB00811,Q99808
DB00813,Q12809,1,DB00813,Q12809
DB00813,P27338,1,DB00813,P27338
DB00813,P35372,1,DB00813,P35372
DB00813,P41145,1,DB00813,P41145
DB00813,P41143,1,DB00813,P41143
DB00813,P20815,1,DB00813,P20815
DB00813,P24462,1,DB00813,P24462
DB00813,P21397,1,DB00813,P21397
DB00814,P23219,1,DB00814,P23219
DB00814,O15439,1,DB00814,O15439
DB00814,P35354,1,DB00814,P35354
DB00814,P10632,1,DB00814,P10632
DB00819,P23280,1,DB00819,P23280
DB00819,P35218,1,DB00819,P35218
DB00819,Q9Y2D0,1,DB00819,Q9Y2D0
DB00819,P22748,1,DB00819,P22748
DB00819,Q4U2R8,1,DB00819,Q4U2R8
DB00819,O43570,1,DB00819,O43570
DB00819,Q16790,1,DB00819,Q16790
DB00819,Q8N1Q1,1,DB00819,Q8N1Q1
DB00819,Q9ULX7,1,DB00819,Q9ULX7
DB00819,P00918,1,DB00819,P00918
DB00819,P00915,1,DB00819,P00915
DB00819,P43166,1,DB00819,P43166
DB00819,P07451,1,DB00819,P07451
DB00818,P48169,1,DB00818,P48169
DB00818,P02768,1,DB00818,P02768
DB00818,P78334,1,DB00818,P78334
DB00818,Q16445,1,DB00818,Q16445
DB00818,P23219,1,DB00818,P23219
DB00818,Q9HAW9,1,DB00818,Q9HAW9
DB00818,P22309,1,DB00818,P22309
DB00818,P34903,1,DB00818,P34903
DB00818,Q99928,1,DB00818,Q99928
DB00818,P14867,1,DB00818,P14867
DB00818,P19224,1,DB00818,P19224
DB00818,P41595,1,DB00818,P41595
DB00818,P11712,1,DB00818,P11712
DB00818,P28335,1,DB00818,P28335
DB00818,P20813,1,DB00818,P20813
DB00818,P18505,1,DB00818,P18505
DB00818,P18507,1,DB00818,P18507
DB00818,O00591,1,DB00818,O00591
DB00818,O60656,1,DB00818,O60656
DB00818,O14764,1,DB00818,O14764
DB00818,Q9UN88,1,DB00818,Q9UN88
DB00818,P35499,1,DB00818,P35499
DB00818,P04798,1,DB00818,P04798
DB00818,P47870,1,DB00818,P47870
DB00818,P47869,1,DB00818,P47869
DB00818,Q16678,1,DB00818,Q16678
DB00818,P33260,1,DB00818,P33260
DB00818,P33261,1,DB00818,P33261
DB00818,P05181,1,DB00818,P05181
DB00818,Q99250,1,DB00818,Q99250
DB00818,P31644,1,DB00818,P31644
DB00818,P28472,1,DB00818,P28472
DB00818,P00918,1,DB00818,P00918
DB00818,P00915,1,DB00818,P00915
DB00818,Q8N1C3,1,DB00818,Q8N1C3
DB00818,P10632,1,DB00818,P10632
DB00818,P11509,1,DB00818,P11509
DB00818,P23975,1,DB00818,P23975
DB05271,P21918,1,DB05271,P21918
DB05271,P21917,1,DB05271,P21917
DB05271,P08908,1,DB05271,P08908
DB05271,P14416,1,DB05271,P14416
DB05271,P21728,1,DB05271,P21728
DB05271,P18089,1,DB05271,P18089
DB05271,P35462,1,DB05271,P35462
DB05039,P22309,1,DB05039,P22309
DB05039,P14416,1,DB05039,P14416
DB05039,P08588,1,DB05039,P08588
DB05039,P35462,1,DB05039,P35462
DB05039,P07550,1,DB05039,P07550
DB00822,P25025,1,DB00822,P25025
DB00822,P21917,1,DB00822,P21917
DB00822,O00337,1,DB00822,O00337
DB00822,P08913,1,DB00822,P08913
DB00822,P50406,1,DB00822,P50406
DB00822,P27361,1,DB00822,P27361
DB00822,P30536,1,DB00822,P30536
DB00822,P0DMS8,1,DB00822,P0DMS8
DB00822,P35372,1,DB00822,P35372
DB00822,P14416,1,DB00822,P14416
DB00822,P41597,1,DB00822,P41597
DB00822,P41595,1,DB00822,P41595
DB00822,P41145,1,DB00822,P41145
DB00822,P20815,1,DB00822,P20815
DB00822,P21728,1,DB00822,P21728
DB00822,Q01959,1,DB00822,Q01959
DB00822,P18089,1,DB00822,P18089
DB00822,P09172,1,DB00822,P09172
DB00822,P35462,1,DB00822,P35462
DB00822,P27815,1,DB00822,P27815
DB00822,P05177,1,DB00822,P05177
DB00822,P05181,1,DB00822,P05181
DB00822,P51679,1,DB00822,P51679
DB00822,P51681,1,DB00822,P51681
DB00822,P21397,1,DB00822,P21397
DB00822,P23975,1,DB00822,P23975
DB00820,Q12809,1,DB00820,Q12809
DB00820,O43924,1,DB00820,O43924
DB00820,O76074,1,DB00820,O76074
DB00820,Q13956,1,DB00820,Q13956
DB00820,P18545,1,DB00820,P18545
DB00820,Q9HCR9,1,DB00820,Q9HCR9
DB00820,P16499,1,DB00820,P16499
DB00820,P35913,1,DB00820,P35913
DB00820,P51160,1,DB00820,P51160
DB00827,Q4U2R8,1,DB00827,Q4U2R8
DB00827,P00918,1,DB00827,P00918
DB00829,P48169,1,DB00829,P48169
DB00829,P02768,1,DB00829,P02768
DB00829,P78334,1,DB00829,P78334
DB00829,Q16445,1,DB00829,Q16445
DB00829,P23219,1,DB00829,P23219
DB00829,P34903,1,DB00829,P34903
DB00829,P30536,1,DB00829,P30536
DB00829,P0DMS8,1,DB00829,P0DMS8
DB00829,P35348,1,DB00829,P35348
DB00829,Q99928,1,DB00829,Q99928
DB00829,P14867,1,DB00829,P14867
DB00829,P20815,1,DB00829,P20815
DB00829,P20813,1,DB00829,P20813
DB00829,P18505,1,DB00829,P18505
DB00829,P18507,1,DB00829,P18507
