drug_id,target_id,interaction
e_D1,T1,1
e_D1,T22,1
e_D1,T25,1
e_D1,T29,1
e_D1,T35,1
e_D1,T36,1
e_D1,T41,1
e_D1,T44,1
e_D1,T46,1
e_D1,T51,1
e_D1,T52,1
e_D1,T53,1
e_D1,T55,1
e_D1,T60,1
e_D1,T120,1
e_D1,T140,1
e_D1,T142,1
e_D1,T168,1
e_D1,T171,1
e_D1,T220,1
e_D1,T223,1
e_D1,T234,1
e_D1,T250,1
e_D1,T259,1
e_D1,T260,1
e_D1,T278,1
e_D1,T279,1
e_D1,T285,1
e_D1,T293,1
e_D1,T312,1
e_D1,T313,1
e_D1,T328,1
e_D1,T330,1
e_D1,T491,1
e_D1,T530,1
e_D1,T549,1
e_D1,T559,1
e_D2,T112,1
e_D2,T121,1
e_D2,T128,1
e_D2,T179,1
e_D2,T201,1
e_D2,T227,1
e_D2,T232,1
e_D2,T250,1
e_D2,T282,1
e_D2,T286,1
e_D2,T297,1
e_D2,T325,1
e_D2,T349,1
e_D2,T601,1
e_D3,T234,1
e_D3,T268,1
e_D4,T250,1
e_D4,T251,1
e_D5,T366,1
e_D5,T437,1
e_D6,T3,1
e_D6,T21,1
e_D6,T176,1
e_D6,T374,1
e_D6,T570,1
e_D6,T576,1
e_D7,T128,1
e_D7,T268,1
e_D8,T268,1
e_D8,T270,1
e_D8,T272,1
e_D8,T375,1
e_D8,T377,1
e_D8,T378,1
e_D8,T515,1
e_D8,T544,1
e_D8,T568,1
e_D9,T261,1
e_D9,T262,1
e_D9,T265,1
e_D10,T158,1
e_D10,T253,1
e_D10,T509,1
e_D10,T525,1
e_D11,T567,1
e_D12,T2,1
e_D12,T66,1
e_D12,T73,1
e_D12,T195,1
e_D12,T329,1
e_D12,T333,1
e_D12,T364,1
e_D12,T542,1
e_D12,T597,1
e_D12,T641,1
e_D12,T664,1
e_D13,T112,1
e_D13,T221,1
e_D14,T15,1
e_D14,T232,1
e_D14,T336,1
e_D14,T377,1
e_D14,T378,1
e_D14,T517,1
e_D14,T529,1
e_D15,T377,1
e_D15,T378,1
e_D15,T569,1
e_D16,T14,1
e_D16,T24,1
e_D16,T37,1
e_D16,T49,1
e_D16,T50,1
e_D16,T117,1
e_D16,T127,1
e_D16,T162,1
e_D16,T165,1
e_D16,T166,1
e_D16,T167,1
e_D16,T169,1
e_D16,T170,1
e_D16,T205,1
e_D16,T206,1
e_D16,T249,1
e_D16,T257,1
e_D16,T258,1
e_D16,T274,1
e_D16,T288,1
e_D16,T306,1
e_D16,T307,1
e_D16,T308,1
e_D16,T334,1
e_D16,T353,1
e_D16,T367,1
e_D16,T387,1
e_D16,T389,1
e_D16,T415,1
e_D16,T426,1
e_D16,T427,1
e_D16,T436,1
e_D16,T445,1
e_D16,T446,1
e_D16,T461,1
e_D16,T465,1
e_D16,T485,1
e_D16,T486,1
e_D16,T510,1
e_D16,T511,1
e_D16,T512,1
e_D16,T513,1
e_D16,T514,1
e_D16,T532,1
e_D16,T541,1
e_D16,T546,1
e_D16,T565,1
e_D16,T586,1
e_D16,T621,1
e_D16,T650,1
e_D16,T656,1
e_D17,T22,1
e_D18,T207,1
e_D18,T350,1
e_D19,T478,1
e_D19,T547,1
e_D20,T67,1
e_D20,T283,1
e_D20,T335,1
e_D21,T351,1
e_D22,T119,1
e_D23,T15,1
e_D23,T280,1
e_D23,T290,1
e_D23,T304,1
e_D23,T377,1
e_D23,T378,1
e_D23,T529,1
e_D23,T531,1
e_D24,T208,1
e_D24,T642,1
e_D25,T413,1
e_D26,T168,1
e_D26,T643,1
e_D27,T211,1
e_D27,T212,1
e_D27,T213,1
e_D27,T214,1
e_D27,T215,1
e_D27,T289,1
e_D27,T319,1
e_D27,T320,1
e_D27,T337,1
e_D27,T519,1
e_D27,T622,1
e_D28,T385,1
e_D28,T419,1
e_D28,T421,1
e_D28,T439,1
e_D28,T470,1
e_D28,T653,1
e_D29,T17,1
e_D29,T34,1
e_D29,T38,1
e_D29,T40,1
e_D29,T56,1
e_D29,T63,1
e_D29,T65,1
e_D29,T71,1
e_D29,T77,1
e_D29,T129,1
e_D29,T130,1
e_D29,T131,1
e_D29,T132,1
e_D29,T133,1
e_D29,T134,1
e_D29,T135,1
e_D29,T136,1
e_D29,T137,1
e_D29,T190,1
e_D29,T193,1
e_D29,T199,1
e_D29,T240,1
e_D29,T310,1
e_D29,T386,1
e_D29,T414,1
e_D29,T438,1
e_D29,T459,1
e_D29,T460,1
e_D29,T462,1
e_D29,T463,1
e_D29,T464,1
e_D29,T466,1
e_D29,T467,1
e_D29,T468,1
e_D29,T469,1
e_D29,T471,1
e_D29,T472,1
e_D29,T473,1
e_D29,T474,1
e_D29,T475,1
e_D29,T476,1
e_D29,T477,1
e_D29,T479,1
e_D29,T480,1
e_D29,T482,1
e_D29,T483,1
e_D29,T524,1
e_D29,T543,1
e_D29,T616,1
e_D29,T619,1
e_D29,T626,1
e_D29,T636,1
e_D29,T637,1
e_D29,T638,1
e_D29,T651,1
e_D29,T661,1
e_D30,T519,1
e_D30,T520,1
e_D31,T211,1
e_D31,T212,1
e_D31,T213,1
e_D31,T214,1
e_D31,T215,1
e_D31,T320,1
e_D31,T519,1
e_D31,T520,1
e_D32,T202,1
e_D32,T289,1
e_D32,T519,1
e_D32,T520,1
e_D33,T581,1
e_D33,T582,1
e_D34,T91,1
e_D34,T211,1
e_D34,T212,1
e_D34,T213,1
e_D34,T309,1
e_D34,T320,1
e_D34,T519,1
e_D34,T520,1
e_D35,T519,1
e_D35,T520,1
e_D36,T110,1
e_D37,T519,1
e_D37,T520,1
e_D38,T94,1
e_D38,T113,1
e_D38,T168,1
e_D38,T171,1
e_D38,T172,1
e_D38,T175,1
e_D38,T178,1
e_D38,T181,1
e_D38,T338,1
e_D38,T365,1
e_D39,T211,1
e_D39,T212,1
e_D39,T213,1
e_D39,T214,1
e_D39,T215,1
e_D39,T309,1
e_D39,T320,1
e_D39,T519,1
e_D39,T520,1
e_D40,T16,1
e_D40,T97,1
e_D40,T116,1
e_D40,T195,1
e_D40,T384,1
e_D40,T516,1
e_D41,T28,1
e_D41,T82,1
e_D41,T83,1
e_D41,T84,1
e_D41,T85,1
e_D41,T86,1
e_D41,T87,1
e_D41,T88,1
e_D41,T89,1
e_D41,T90,1
e_D41,T91,1
e_D41,T92,1
e_D41,T93,1
e_D41,T94,1
e_D41,T95,1
e_D41,T96,1
e_D41,T97,1
e_D41,T98,1
e_D41,T99,1
e_D41,T100,1
e_D41,T101,1
e_D41,T102,1
e_D41,T103,1
e_D41,T104,1
e_D41,T105,1
e_D41,T106,1
e_D41,T107,1
e_D41,T108,1
e_D41,T109,1
e_D41,T110,1
e_D41,T111,1
e_D41,T146,1
e_D41,T224,1
e_D41,T241,1
e_D41,T252,1
e_D41,T321,1
e_D41,T380,1
e_D41,T392,1
e_D41,T518,1
e_D41,T550,1
e_D41,T635,1
e_D41,T647,1
e_D41,T657,1
e_D42,T211,1
e_D42,T212,1
e_D42,T213,1
e_D42,T214,1
e_D42,T215,1
e_D42,T320,1
e_D42,T519,1
e_D42,T520,1
e_D43,T118,1
e_D44,T118,1
e_D45,T229,1
e_D46,T519,1
e_D46,T520,1
e_D47,T107,1
e_D48,T2,1
e_D49,T519,1
e_D49,T520,1
e_D50,T14,1
e_D50,T24,1
e_D50,T37,1
e_D50,T42,1
e_D50,T50,1
e_D50,T78,1
e_D50,T117,1
e_D50,T144,1
e_D50,T145,1
e_D50,T165,1
e_D50,T166,1
e_D50,T167,1
e_D50,T169,1
e_D50,T170,1
e_D50,T205,1
e_D50,T206,1
e_D50,T249,1
e_D50,T257,1
e_D50,T258,1
e_D50,T288,1
e_D50,T306,1
e_D50,T307,1
e_D50,T308,1
e_D50,T353,1
e_D50,T367,1
e_D50,T387,1
e_D50,T389,1
e_D50,T426,1
e_D50,T427,1
e_D50,T436,1
e_D50,T486,1
e_D50,T510,1
e_D50,T511,1
e_D50,T512,1
e_D50,T513,1
e_D50,T514,1
e_D50,T541,1
e_D50,T546,1
e_D50,T565,1
e_D50,T586,1
e_D50,T621,1
e_D50,T656,1
e_D51,T444,1
e_D52,T519,1
e_D52,T520,1
e_D53,T581,1
e_D53,T582,1
e_D54,T17,1
e_D54,T34,1
e_D54,T38,1
e_D54,T40,1
e_D54,T56,1
e_D54,T63,1
e_D54,T65,1
e_D54,T71,1
e_D54,T77,1
e_D54,T129,1
e_D54,T130,1
e_D54,T131,1
e_D54,T132,1
e_D54,T133,1
e_D54,T134,1
e_D54,T135,1
e_D54,T136,1
e_D54,T137,1
e_D54,T190,1
e_D54,T193,1
e_D54,T199,1
e_D54,T240,1
e_D54,T386,1
e_D54,T459,1
e_D54,T460,1
e_D54,T466,1
e_D54,T467,1
e_D54,T468,1
e_D54,T469,1
e_D54,T471,1
e_D54,T472,1
e_D54,T473,1
e_D54,T474,1
e_D54,T475,1
e_D54,T476,1
e_D54,T477,1
e_D54,T479,1
e_D54,T480,1
e_D54,T482,1
e_D54,T483,1
e_D54,T524,1
e_D54,T543,1
e_D54,T616,1
e_D54,T619,1
e_D54,T626,1
e_D54,T637,1
e_D54,T638,1
e_D54,T651,1
e_D54,T661,1
e_D55,T379,1
e_D56,T581,1
