entity_id,entity_type,bio_type
DB00050,drug,3
DB00162,drug,0
DB00175,drug,0
DB00176,drug,1
DB00177,drug,3
DB00178,drug,1
DB00180,drug,0
DB00181,drug,1
DB00182,drug,3
DB00184,drug,0
DB00185,drug,2
DB00186,drug,3
DB00187,drug,2
DB00188,drug,1
DB00191,drug,0
DB00193,drug,4
DB00195,drug,1
DB00197,drug,0
DB00198,drug,3
DB00200,drug,3
DB00201,drug,3
DB00202,drug,1
DB00203,drug,1
DB00204,drug,1
DB00205,drug,3
DB00206,drug,3
DB00208,drug,1
DB00210,drug,2
DB00211,drug,1
DB00215,drug,4
DB00216,drug,2
DB00218,drug,2
DB00222,drug,2
DB00227,drug,0
DB00228,drug,3
DB00230,drug,4
DB00231,drug,0
DB00242,drug,3
DB00243,drug,2
DB00246,drug,1
DB00247,drug,4
DB00248,drug,3
DB00252,drug,3
DB00257,drug,1
DB00264,drug,1
DB00268,drug,1
DB00273,drug,4
DB00276,drug,3
DB00277,drug,3
DB00278,drug,2
DB00280,drug,2
DB00281,drug,3
DB00282,drug,3
DB00284,drug,1
DB00285,drug,3
DB00287,drug,2
DB00288,drug,3
DB00289,drug,3
DB00292,drug,3
DB00293,drug,4
DB00295,drug,3
DB00296,drug,0
DB00297,drug,3
DB00302,drug,4
DB00307,drug,1
DB00308,drug,3
DB00310,drug,3
DB00312,drug,2
DB00313,drug,2
DB00315,drug,0
DB00316,drug,3
DB00317,drug,2
DB00318,drug,4
DB00320,drug,0
DB00321,drug,0
DB00323,drug,3
DB00324,drug,3
DB00327,drug,2
DB00328,drug,3
DB00331,drug,1
DB00333,drug,3
DB00334,drug,3
DB00335,drug,3
DB00337,drug,2
DB00344,drug,2
DB00346,drug,3
DB00349,drug,0
DB00350,drug,4
DB00351,drug,3
DB00356,drug,2
DB00357,drug,3
DB00358,drug,2
DB00361,drug,4
DB00363,drug,4
DB00364,drug,0
DB00367,drug,3
DB00368,drug,1
DB00370,drug,3
DB00371,drug,3
DB00373,drug,1
DB00374,drug,3
DB00376,drug,1
DB00377,drug,0
DB00379,drug,3
DB00381,drug,3
DB00382,drug,4
DB00384,drug,2
DB00388,drug,4
DB00390,drug,1
DB00393,drug,3
DB00396,drug,4
DB00398,drug,4
DB00401,drug,3
DB00404,drug,3
DB00408,drug,1
DB00411,drug,2
DB00412,drug,2
DB00413,drug,1
DB00418,drug,0
DB00419,drug,4
DB00421,drug,1
DB00422,drug,3
DB00425,drug,2
DB00431,drug,3
DB00433,drug,2
DB00434,drug,2
DB00437,drug,4
DB00439,drug,2
DB00440,drug,0
DB00441,drug,1
DB00444,drug,0
DB00446,drug,3
DB00449,drug,2
DB00450,drug,2
DB00454,drug,0
DB00457,drug,1
DB00458,drug,3
DB00459,drug,1
DB00461,drug,2
DB00465,drug,4
DB00471,drug,3
DB00472,drug,2
DB00474,drug,3
DB00475,drug,3
DB00476,drug,1
DB00477,drug,1
DB00480,drug,3
DB00481,drug,3
DB00482,drug,0
DB00484,drug,4
DB00486,drug,4
DB00489,drug,2
DB00490,drug,3
DB00491,drug,3
DB00492,drug,2
DB00494,drug,3
DB00496,drug,0
DB00497,drug,0
DB00499,drug,2
DB00500,drug,2
DB00501,drug,3
DB00502,drug,0
DB00518,drug,3
DB00519,drug,4
DB00521,drug,4
DB00524,drug,2
DB00530,drug,2
DB00532,drug,2
DB00533,drug,4
DB00535,drug,0
DB00537,drug,3
DB00539,drug,3
DB00540,drug,1
DB00541,drug,4
DB00542,drug,4
DB00543,drug,0
DB00547,drug,3
DB00548,drug,0
DB00550,drug,0
DB00554,drug,3
DB00555,drug,2
DB00559,drug,2
DB00561,drug,0
DB00563,drug,3
DB00564,drug,1
